population_size,mutation_probability,crossover_probability,generations,elite_percentage,best_fitness
3000,0.01,0.7,80,10,4.920049200492005e-05
3000,0.01,0.7,80,10,4.956629491945477e-05
3000,0.01,0.7,80,8,4.9578582052553296e-05
3000,0.01,0.7,80,10,4.9431537320810677e-05
3000,0.01,0.7,80,10,4.956629491945477e-05
3000,0.01,0.7,80,10,4.929751047572098e-05
3000,0.01,0.7,80,10,4.9578582052553296e-05
3000,0.01,0.7,80,10,4.956629491945477e-05
3000,0.01,0.7,80,10,4.9431537320810677e-05
3000,0.01,0.7,80,10,4.956629491945477e-05
3000,0.01,0.7,80,12,4.956629491945477e-05
3000,0.01,0.7,80,12,4.9578582052553296e-05
3000,0.01,0.7,80,12,4.956629491945477e-05
3000,0.01,0.7,80,12,4.920049200492005e-05
3000,0.01,0.7,80,12,4.956629491945477e-05
3000,0.01,0.7,80,12,4.9578582052553296e-05
3000,0.01,0.7,80,14,4.917629702483403e-05
3000,0.01,0.7,80,14,4.920049200492005e-05
3000,0.01,0.7,80,12,4.917629702483403e-05
3000,0.01,0.7,80,14,4.920049200492005e-05
3000,0.01,0.7,80,12,4.8995590396864285e-05
3000,0.01,0.7,80,14,4.9578582052553296e-05
3000,0.01,0.7,80,12,4.9431537320810677e-05
3000,0.01,0.7,80,12,4.956629491945477e-05
3000,0.01,0.7,80,14,4.9578582052553296e-05
3000,0.01,0.7,80,14,4.9578582052553296e-05
3000,0.01,0.7,80,14,4.9578582052553296e-05
3000,0.01,0.7,80,14,4.9578582052553296e-05
3000,0.01,0.7,80,14,4.9578582052553296e-05
3000,0.01,0.7,80,14,4.9431537320810677e-05
3000,0.01,0.7,80,16,4.917629702483403e-05
3000,0.01,0.7,80,16,4.920049200492005e-05
3000,0.01,0.7,80,16,4.920049200492005e-05
3000,0.01,0.7,80,16,4.956629491945477e-05
3000,0.01,0.7,80,16,4.9578582052553296e-05
3000,0.01,0.7,80,16,4.9578582052553296e-05
3000,0.01,0.7,80,18,4.956629491945477e-05
3000,0.01,0.7,80,18,4.920049200492005e-05
3000,0.01,0.7,80,16,4.920049200492005e-05
3000,0.01,0.7,80,16,4.9443757725587144e-05
3000,0.01,0.7,80,18,4.9578582052553296e-05
3000,0.01,0.7,80,18,4.956629491945477e-05
3000,0.01,0.7,80,18,4.9578582052553296e-05
3000,0.01,0.7,80,16,4.9578582052553296e-05
3000,0.01,0.7,80,18,4.905567819475104e-05
3000,0.01,0.7,80,18,4.9578582052553296e-05
3000,0.01,0.7,80,18,4.9578582052553296e-05
3000,0.01,0.7,80,20,4.956629491945477e-05
3000,0.01,0.7,80,20,4.956629491945477e-05
3000,0.01,0.7,80,18,4.929751047572098e-05
3000,0.01,0.7,80,16,4.9578582052553296e-05
3000,0.01,0.7,80,20,4.956629491945477e-05
3000,0.01,0.7,80,20,4.9578582052553296e-05
3000,0.01,0.7,80,20,4.917629702483403e-05
3000,0.01,0.7,80,20,4.9578582052553296e-05
3000,0.01,0.7,80,20,4.9236829148202856e-05
3000,0.01,0.7,80,18,4.9578582052553296e-05
3000,0.01,0.7,80,20,4.956629491945477e-05
3000,0.01,0.7,80,20,4.956629491945477e-05
3000,0.01,0.7,80,20,4.920049200492005e-05
3000,0.01,0.7,80,22,4.956629491945477e-05
3000,0.01,0.7,80,22,4.9578582052553296e-05
3000,0.01,0.7,80,22,4.920049200492005e-05
3000,0.01,0.7,80,22,4.9236829148202856e-05
3000,0.01,0.7,80,22,4.9578582052553296e-05
3000,0.01,0.7,80,22,4.9431537320810677e-05
3000,0.01,0.7,80,22,4.9431537320810677e-05
3000,0.01,0.7,80,22,4.9443757725587144e-05
3000,0.01,0.7,80,24,4.909180166912126e-05
3000,0.01,0.7,80,24,4.9431537320810677e-05
3000,0.01,0.7,80,22,4.956629491945477e-05
3000,0.01,0.7,80,24,4.956629491945477e-05
3000,0.01,0.7,80,22,4.9578582052553296e-05
3000,0.01,0.7,80,24,4.917629702483403e-05
3000,0.01,0.7,80,24,4.9578582052553296e-05
3000,0.01,0.7,80,24,4.956629491945477e-05
3000,0.01,0.7,80,24,4.956629491945477e-05
3000,0.01,0.7,80,24,4.956629491945477e-05
3000,0.01,0.7,80,26,4.920049200492005e-05
3000,0.01,0.7,80,24,4.9431537320810677e-05
3000,0.01,0.7,80,24,4.9578582052553296e-05
3000,0.01,0.7,80,26,4.956629491945477e-05
3000,0.01,0.7,80,26,4.956629491945477e-05
3000,0.01,0.7,80,26,4.9578582052553296e-05
3000,0.01,0.7,80,26,4.9578582052553296e-05
3000,0.01,0.7,80,26,4.920049200492005e-05
3000,0.01,0.7,80,26,4.8995590396864285e-05
3000,0.01,0.7,80,26,4.956629491945477e-05
3000,0.01,0.7,80,28,4.956629491945477e-05
3000,0.01,0.7,80,26,4.956629491945477e-05
3000,0.01,0.7,80,28,4.956629491945477e-05
3000,0.01,0.7,80,28,4.9431537320810677e-05
3000,0.01,0.7,80,28,4.956629491945477e-05
3000,0.01,0.7,80,26,4.956629491945477e-05
3000,0.01,0.7,80,28,4.9578582052553296e-05
3000,0.01,0.7,80,28,4.9578582052553296e-05
3000,0.01,0.7,80,28,4.9578582052553296e-05
3000,0.01,0.7,80,28,4.893564962074871e-05
3000,0.01,0.7,80,28,4.956629491945477e-05
3000,0.01,0.7,80,28,4.9578582052553296e-05
3000,0.02,0.6,80,0,4.893564962074871e-05
3000,0.02,0.6,80,0,4.928536224741252e-05
3000,0.02,0.6,80,0,4.901960784313725e-05
3000,0.02,0.6,80,0,4.909180166912126e-05
3000,0.02,0.6,80,0,4.917629702483403e-05
3000,0.02,0.6,80,0,4.893564962074871e-05
3000,0.02,0.6,80,0,4.893564962074871e-05
3000,0.02,0.6,80,0,4.893564962074871e-05
3000,0.02,0.6,80,0,4.893564962074871e-05
3000,0.02,0.6,80,2,4.893564962074871e-05
3000,0.02,0.6,80,2,4.893564962074871e-05
3000,0.02,0.6,80,0,4.90075961774075e-05
3000,0.02,0.6,80,2,4.893564962074871e-05
3000,0.02,0.6,80,2,4.893564962074871e-05
3000,0.02,0.6,80,2,4.9431537320810677e-05
3000,0.02,0.6,80,2,4.893564962074871e-05
3000,0.02,0.6,80,2,4.920049200492005e-05
3000,0.02,0.6,80,2,4.9578582052553296e-05
3000,0.02,0.6,80,4,4.956629491945477e-05
3000,0.02,0.6,80,2,4.9578582052553296e-05
3000,0.02,0.6,80,4,4.956629491945477e-05
3000,0.02,0.6,80,2,4.9578582052553296e-05
3000,0.02,0.6,80,4,4.956629491945477e-05
3000,0.02,0.6,80,4,4.956629491945477e-05
3000,0.02,0.6,80,4,4.8995590396864285e-05
3000,0.02,0.6,80,4,4.8995590396864285e-05
3000,0.02,0.6,80,4,4.917629702483403e-05
3000,0.02,0.6,80,4,4.956629491945477e-05
3000,0.02,0.6,80,4,4.956629491945477e-05
3000,0.02,0.6,80,6,4.956629491945477e-05
3000,0.02,0.6,80,4,4.9578582052553296e-05
3000,0.02,0.6,80,6,4.956629491945477e-05
3000,0.02,0.6,80,6,4.9578582052553296e-05
3000,0.02,0.6,80,6,4.9578582052553296e-05
3000,0.02,0.6,80,6,4.9578582052553296e-05
3000,0.02,0.6,80,6,4.893564962074871e-05
3000,0.02,0.6,80,6,4.9578582052553296e-05
3000,0.02,0.6,80,6,4.9578582052553296e-05
3000,0.02,0.6,80,6,4.956629491945477e-05
3000,0.02,0.6,80,6,4.920049200492005e-05
3000,0.02,0.6,80,8,4.8995590396864285e-05
3000,0.02,0.6,80,8,4.903162539838196e-05
3000,0.02,0.6,80,8,4.9578582052553296e-05
3000,0.02,0.6,80,8,4.917629702483403e-05
3000,0.02,0.6,80,8,4.9578582052553296e-05
3000,0.02,0.6,80,8,4.9578582052553296e-05
3000,0.02,0.6,80,8,4.9578582052553296e-05
3000,0.02,0.6,80,8,4.917629702483403e-05
3000,0.02,0.6,80,10,4.956629491945477e-05
3000,0.02,0.6,80,8,4.956629491945477e-05
3000,0.02,0.6,80,8,4.9578582052553296e-05
3000,0.02,0.6,80,10,4.9443757725587144e-05
3000,0.02,0.6,80,10,4.893564962074871e-05
3000,0.02,0.6,80,10,4.956629491945477e-05
3000,0.02,0.6,80,10,4.956629491945477e-05
3000,0.02,0.6,80,10,4.9431537320810677e-05
3000,0.02,0.6,80,10,4.9578582052553296e-05
3000,0.02,0.6,80,10,4.9578582052553296e-05
3000,0.02,0.6,80,10,4.920049200492005e-05
3000,0.02,0.6,80,12,4.893564962074871e-05
3000,0.02,0.6,80,12,4.893564962074871e-05
3000,0.02,0.6,80,10,4.9578582052553296e-05
3000,0.02,0.6,80,12,4.956629491945477e-05
3000,0.02,0.6,80,12,4.956629491945477e-05
3000,0.02,0.6,80,12,4.956629491945477e-05
3000,0.02,0.6,80,14,4.893564962074871e-05
3000,0.02,0.6,80,12,4.920049200492005e-05
3000,0.02,0.6,80,12,4.956629491945477e-05
3000,0.02,0.6,80,14,4.956629491945477e-05
3000,0.02,0.6,80,12,4.9578582052553296e-05
3000,0.02,0.6,80,14,4.956629491945477e-05
3000,0.02,0.6,80,14,4.917629702483403e-05
3000,0.02,0.6,80,12,4.9578582052553296e-05
3000,0.02,0.6,80,14,4.956629491945477e-05
3000,0.02,0.6,80,12,4.9578582052553296e-05
3000,0.02,0.6,80,14,4.956629491945477e-05
3000,0.02,0.6,80,14,4.956629491945477e-05
3000,0.02,0.6,80,16,4.956629491945477e-05
3000,0.02,0.6,80,14,4.9578582052553296e-05
3000,0.02,0.6,80,14,4.9236829148202856e-05
3000,0.02,0.6,80,16,4.917629702483403e-05
3000,0.02,0.6,80,14,4.956629491945477e-05
3000,0.02,0.6,80,16,4.920049200492005e-05
3000,0.02,0.6,80,16,4.928536224741252e-05
3000,0.02,0.6,80,16,4.956629491945477e-05
3000,0.02,0.6,80,16,4.9443757725587144e-05
3000,0.02,0.6,80,16,4.956629491945477e-05
3000,0.02,0.6,80,18,4.956629491945477e-05
3000,0.02,0.6,80,16,4.920049200492005e-05
3000,0.02,0.6,80,18,4.956629491945477e-05
3000,0.02,0.6,80,18,4.956629491945477e-05
3000,0.02,0.6,80,16,4.9578582052553296e-05
3000,0.02,0.6,80,18,4.9578582052553296e-05
3000,0.02,0.6,80,18,4.956629491945477e-05
3000,0.02,0.6,80,18,4.9578582052553296e-05
3000,0.02,0.6,80,16,4.9578582052553296e-05
3000,0.02,0.6,80,18,4.893564962074871e-05
3000,0.02,0.6,80,18,4.9578582052553296e-05
3000,0.02,0.6,80,20,4.929751047572098e-05
3000,0.02,0.6,80,18,4.9578582052553296e-05
3000,0.02,0.6,80,20,4.956629491945477e-05
3000,0.02,0.6,80,18,4.956629491945477e-05
3000,0.02,0.6,80,20,4.956629491945477e-05
3000,0.02,0.6,80,20,4.9578582052553296e-05
3000,0.02,0.6,80,20,4.9578582052553296e-05
3000,0.02,0.6,80,20,4.956629491945477e-05
3000,0.02,0.6,80,20,4.9578582052553296e-05
3000,0.02,0.6,80,20,4.9578582052553296e-05
3000,0.02,0.6,80,22,4.9443757725587144e-05
3000,0.02,0.6,80,20,4.9578582052553296e-05
3000,0.02,0.6,80,22,4.9443757725587144e-05
3000,0.02,0.6,80,20,4.956629491945477e-05
3000,0.02,0.6,80,22,4.956629491945477e-05
3000,0.02,0.6,80,22,4.956629491945477e-05
3000,0.02,0.6,80,22,4.9578582052553296e-05
3000,0.02,0.6,80,24,4.893564962074871e-05
3000,0.02,0.6,80,22,4.9578582052553296e-05
3000,0.02,0.6,80,22,4.9578582052553296e-05
3000,0.02,0.6,80,22,4.956629491945477e-05
3000,0.02,0.6,80,22,4.956629491945477e-05
3000,0.02,0.6,80,24,4.9578582052553296e-05
3000,0.02,0.6,80,22,4.9578582052553296e-05
3000,0.02,0.6,80,24,4.956629491945477e-05
3000,0.02,0.6,80,24,4.956629491945477e-05
3000,0.02,0.6,80,24,4.956629491945477e-05
3000,0.02,0.6,80,24,4.917629702483403e-05
3000,0.02,0.6,80,24,4.9578582052553296e-05
3000,0.02,0.6,80,26,4.9443757725587144e-05
3000,0.02,0.6,80,26,4.956629491945477e-05
3000,0.02,0.6,80,24,4.9431537320810677e-05
3000,0.02,0.6,80,26,4.956629491945477e-05
3000,0.02,0.6,80,26,4.9431537320810677e-05
3000,0.02,0.6,80,26,4.9578582052553296e-05
3000,0.02,0.6,80,24,4.956629491945477e-05
3000,0.02,0.6,80,26,4.917629702483403e-05
3000,0.02,0.6,80,26,4.8995590396864285e-05
3000,0.02,0.6,80,24,4.9578582052553296e-05
3000,0.02,0.6,80,26,4.920049200492005e-05
3000,0.02,0.6,80,26,4.956629491945477e-05
3000,0.02,0.6,80,26,4.9578582052553296e-05
3000,0.02,0.6,80,28,4.956629491945477e-05
3000,0.02,0.6,80,28,4.9578582052553296e-05
3000,0.02,0.6,80,28,4.920049200492005e-05
3000,0.02,0.6,80,28,4.9236829148202856e-05
3000,0.02,0.6,80,28,4.956629491945477e-05
3000,0.02,0.6,80,28,4.956629491945477e-05
3000,0.02,0.6,80,28,4.9578582052553296e-05
3000,0.02,0.6,80,28,4.920049200492005e-05
3000,0.02,0.6,80,28,4.9578582052553296e-05
3000,0.02,0.6,80,28,4.903162539838196e-05
3000,0.02,0.7,80,0,4.893564962074871e-05
3000,0.02,0.7,80,0,4.893564962074871e-05
3000,0.02,0.7,80,0,4.893564962074871e-05
3000,0.02,0.7,80,0,4.848484848484849e-05
3000,0.02,0.7,80,0,4.893564962074871e-05
3000,0.02,0.7,80,0,4.893564962074871e-05
3000,0.02,0.7,80,0,4.893564962074871e-05
3000,0.02,0.7,80,0,4.893564962074871e-05
3000,0.02,0.7,80,0,4.920049200492005e-05
3000,0.02,0.7,80,0,4.917629702483403e-05
3000,0.02,0.7,80,2,4.893564962074871e-05
3000,0.02,0.7,80,2,4.909180166912126e-05
3000,0.02,0.7,80,2,4.893564962074871e-05
3000,0.02,0.7,80,2,4.893564962074871e-05
3000,0.02,0.7,80,2,4.893564962074871e-05
3000,0.02,0.7,80,2,4.9578582052553296e-05
3000,0.02,0.7,80,2,4.9431537320810677e-05
3000,0.02,0.7,80,2,4.9578582052553296e-05
3000,0.02,0.7,80,2,4.917629702483403e-05
3000,0.02,0.7,80,2,4.917629702483403e-05
3000,0.02,0.7,80,4,4.917629702483403e-05
3000,0.02,0.7,80,4,4.893564962074871e-05
3000,0.02,0.7,80,4,4.893564962074871e-05
3000,0.02,0.7,80,4,4.956629491945477e-05
3000,0.02,0.7,80,4,4.9067713444553486e-05
3000,0.02,0.7,80,4,4.920049200492005e-05
3000,0.02,0.7,80,4,4.9236829148202856e-05
3000,0.02,0.7,80,4,4.9431537320810677e-05
3000,0.02,0.7,80,4,4.956629491945477e-05
3000,0.02,0.7,80,6,4.956629491945477e-05
3000,0.02,0.7,80,4,4.9443757725587144e-05
3000,0.02,0.7,80,6,4.893564962074871e-05
3000,0.02,0.7,80,6,4.956629491945477e-05
3000,0.02,0.7,80,6,4.8995590396864285e-05
3000,0.02,0.7,80,6,4.893564962074871e-05
3000,0.02,0.7,80,6,4.917629702483403e-05
3000,0.02,0.7,80,6,4.8995590396864285e-05
3000,0.02,0.7,80,8,4.893564962074871e-05
3000,0.02,0.7,80,6,4.903162539838196e-05
3000,0.02,0.7,80,6,4.8995590396864285e-05
3000,0.02,0.7,80,8,4.956629491945477e-05
3000,0.02,0.7,80,6,4.9431537320810677e-05
3000,0.02,0.7,80,8,4.917629702483403e-05
3000,0.02,0.7,80,8,4.9443757725587144e-05
3000,0.02,0.7,80,8,4.956629491945477e-05
3000,0.02,0.7,80,8,4.9578582052553296e-05
3000,0.02,0.7,80,8,4.9578582052553296e-05
3000,0.02,0.7,80,10,4.956629491945477e-05
3000,0.02,0.7,80,8,4.920049200492005e-05
3000,0.02,0.7,80,10,4.8995590396864285e-05
3000,0.02,0.7,80,10,4.956629491945477e-05
3000,0.02,0.7,80,8,4.917629702483403e-05
3000,0.02,0.7,80,10,4.9578582052553296e-05
3000,0.02,0.7,80,10,4.9431537320810677e-05
3000,0.02,0.7,80,8,4.9431537320810677e-05
3000,0.02,0.7,80,10,4.9578582052553296e-05
3000,0.02,0.7,80,10,4.9431537320810677e-05
3000,0.02,0.7,80,10,4.920049200492005e-05
3000,0.02,0.7,80,12,4.893564962074871e-05
3000,0.02,0.7,80,10,4.917629702483403e-05
3000,0.02,0.7,80,12,4.956629491945477e-05
3000,0.02,0.7,80,12,4.956629491945477e-05
3000,0.02,0.7,80,12,4.893564962074871e-05
3000,0.02,0.7,80,10,4.9578582052553296e-05
3000,0.02,0.7,80,12,4.956629491945477e-05
3000,0.02,0.7,80,12,4.920049200492005e-05
3000,0.02,0.7,80,12,4.956629491945477e-05
3000,0.02,0.7,80,12,4.9578582052553296e-05
3000,0.02,0.7,80,12,4.9578582052553296e-05
3000,0.02,0.7,80,14,4.9431537320810677e-05
3000,0.02,0.7,80,12,4.9431537320810677e-05
3000,0.02,0.7,80,14,4.893564962074871e-05
3000,0.02,0.7,80,14,4.903162539838196e-05
3000,0.02,0.7,80,14,4.917629702483403e-05
3000,0.02,0.7,80,14,4.9578582052553296e-05
3000,0.02,0.7,80,14,4.956629491945477e-05
3000,0.02,0.7,80,14,4.9578582052553296e-05
3000,0.02,0.7,80,14,4.9578582052553296e-05
3000,0.02,0.7,80,16,4.893564962074871e-05
3000,0.02,0.7,80,16,4.956629491945477e-05
3000,0.02,0.7,80,16,4.956629491945477e-05
3000,0.02,0.7,80,14,4.956629491945477e-05
3000,0.02,0.7,80,14,4.9443757725587144e-05
3000,0.02,0.7,80,16,4.9578582052553296e-05
3000,0.02,0.7,80,16,4.956629491945477e-05
3000,0.02,0.7,80,16,4.9578582052553296e-05
3000,0.02,0.7,80,16,4.9578582052553296e-05
3000,0.02,0.7,80,16,4.9431537320810677e-05
3000,0.02,0.7,80,16,4.956629491945477e-05
3000,0.02,0.7,80,16,4.9236829148202856e-05
3000,0.02,0.7,80,18,4.956629491945477e-05
3000,0.02,0.7,80,18,4.9578582052553296e-05
3000,0.02,0.7,80,18,4.917629702483403e-05
3000,0.02,0.7,80,18,4.956629491945477e-05
3000,0.02,0.7,80,18,4.917629702483403e-05
3000,0.02,0.7,80,18,4.956629491945477e-05
3000,0.02,0.7,80,18,4.917629702483403e-05
3000,0.02,0.7,80,18,4.9443757725587144e-05
3000,0.02,0.7,80,20,4.9578582052553296e-05
3000,0.02,0.7,80,20,4.9236829148202856e-05
3000,0.02,0.7,80,18,4.956629491945477e-05
3000,0.02,0.7,80,20,4.956629491945477e-05
3000,0.02,0.7,80,18,4.9578582052553296e-05
3000,0.02,0.7,80,20,4.9578582052553296e-05
3000,0.02,0.7,80,20,4.956629491945477e-05
3000,0.02,0.7,80,22,4.8995590396864285e-05
3000,0.02,0.7,80,20,4.920049200492005e-05
3000,0.02,0.7,80,20,4.920049200492005e-05
3000,0.02,0.7,80,20,4.9578582052553296e-05
3000,0.02,0.7,80,20,4.9578582052553296e-05
3000,0.02,0.7,80,22,4.920049200492005e-05
3000,0.02,0.7,80,20,4.903162539838196e-05
3000,0.02,0.7,80,22,4.956629491945477e-05
3000,0.02,0.7,80,22,4.9578582052553296e-05
3000,0.02,0.7,80,22,4.956629491945477e-05
3000,0.02,0.7,80,22,4.956629491945477e-05
3000,0.02,0.7,80,22,4.956629491945477e-05
3000,0.02,0.7,80,22,4.956629491945477e-05
3000,0.02,0.7,80,24,4.893564962074871e-05
3000,0.02,0.7,80,22,4.956629491945477e-05
3000,0.02,0.7,80,22,4.9578582052553296e-05
3000,0.02,0.7,80,24,4.893564962074871e-05
3000,0.02,0.7,80,24,4.956629491945477e-05
3000,0.02,0.7,80,24,4.920049200492005e-05
3000,0.02,0.7,80,24,4.9578582052553296e-05
3000,0.02,0.7,80,24,4.903162539838196e-05
3000,0.02,0.7,80,24,4.9578582052553296e-05
3000,0.02,0.7,80,24,4.956629491945477e-05
3000,0.02,0.7,80,26,4.893564962074871e-05
3000,0.02,0.7,80,24,4.9578582052553296e-05
3000,0.02,0.7,80,24,4.9578582052553296e-05
3000,0.02,0.7,80,26,4.9578582052553296e-05
3000,0.02,0.7,80,26,4.956629491945477e-05
3000,0.02,0.7,80,26,4.956629491945477e-05
3000,0.02,0.7,80,26,4.956629491945477e-05
3000,0.02,0.7,80,26,4.9578582052553296e-05
3000,0.02,0.7,80,26,4.9578582052553296e-05
3000,0.02,0.7,80,26,4.9578582052553296e-05
3000,0.02,0.7,80,26,4.9578582052553296e-05
3000,0.02,0.7,80,28,4.956629491945477e-05
3000,0.02,0.7,80,28,4.9578582052553296e-05
3000,0.02,0.7,80,26,4.9578582052553296e-05
3000,0.02,0.7,80,28,4.9431537320810677e-05
3000,0.02,0.7,80,28,4.9578582052553296e-05
3000,0.02,0.7,80,28,4.956629491945477e-05
3000,0.02,0.7,80,28,4.9578582052553296e-05
3000,0.02,0.7,80,28,4.9443757725587144e-05
3000,0.02,0.7,80,28,4.9443757725587144e-05
3000,0.02,0.7,80,28,4.9578582052553296e-05
3000,0.02,0.7,80,28,4.903162539838196e-05
